link,title,description
https://epaper.dawn.com,"Dawn-ePaper | May 12, 2024 | Page Front Page"," Compunode.com Pvt. Ltd. (www.compunode.com).Designed for Dawn. Copyright © 2024, Dawn NewsKit Publishing Platform"
https://www.dawnnews.tv/watch-live,Watch Live TV - Dawnnews," 

 کاپی رائٹ © 2024  Tupernic Private Limited. (www.tupernic.com).Designed for 
              Dawn
"
https://www.dawnnews.tv,Home - Dawnnews,"کاپی رائٹ © 2024  Tupernic Private Limited. (www.tupernic.com).Designed for 
              Dawn
"
https://images.dawn.com,Home - Images," 
         View this post on Instagram            
   Compunode.com Pvt. Ltd. (www.compunode.com).Designed for Dawn."
https://aurora.dawn.com,Home - Aurora,"
      For questions regarding subscription and timely delivery, please contact on the following numbers or visit 
      (ISB) +92-51-220-2701-5 • Plot 12, Sector G-7/1 Mauve Area, Near Zero Point Islamabad, 44000 
      (KHI) +92-21-3561-3066/7 • Haroon House Dr. Ziauddin Ahmed Road Karachi, 74200 
      (LHR) +92-42-3575-8120-25 • 20-N, Gulberg II Lahore, 54660 
Terms and Conditions  • Privacy Policy 
"
https://cityfm89.com,CityFM89,"Dwayne “The Rock” Johnson made a surprise return to the WWE. 
A clip of him facing off with John Cena during the WWE SmackDown is making the rounds on social media. 
 New month, new celebrity breakup news.
Did you hear.. Actor Hugh Jackman is separating from wife Deborra-Lee after being married for 27 years and sharing two children.⁠
 *NSYNC is getting the band back together for a new single called \""Better Place\"" - their first song together in 20 years. The 90s boy band have reunited for the \'Trolls Band Together\' movie soundtrack.⁠ Keep up to date with the latest entertainment features from CityFM89 & beyond.
				The CityFM89 Featured Podcasts serve you recommendations and commentary on the buzziest movies, TV, music, lifestyle and more. Live on CityFM - 89 Insomnia is here to keep the party going with non-stop hit music, so you'll never have
to your dial. Get ready to groove to the beat! Monday – Sunday (12AM – 7AM) 00:01 - 07:00 07:01 - 10:00 10:01 - 12:00 12:01 - 15:00 15:01 - 16:00 16:01 - 17:00 17:01 - 20:00 20:01 - 22:00 22:01 - 23:00 23:01 - 23:59 00:01 - 07:00 07:00 - 10:00 10:01 - 12:00 12:01 - 15:00 15:01 - 16:00 16:01 - 17:00 17:01 - 20:00 20:01 - 22:00 22:01 - 23:00 23:01 - 23:59 00:01 - 07:00 07:01 - 10:00 10:01 - 12:00 12:01 - 15:00 15:01 - 16:00 16:01 - 17:00 17:01 - 19:00 19:01 - 21:00 21:01 - 22:00 22:01 - 23:00 23:01 - 23:59 00:01 - 07:00 07:01 - 10:00 10:01 - 12:00 12:01 - 15:00 15:01 - 16:00 16:01 - 17:00 17:01 - 20:00 20:01 - 22:00 22:01 - 23:00 23:01 - 23:59 00:01 - 07:00 07:01 - 10:00 10:01 - 12:00 12:01 - 14:00 14:01 - 15:00 15:01 - 16:00 16:01 - 17:00 17:01 - 20:00 20:01 - 22:00 22:01 - 23:00 23:01 - 23:59 00:01 - 07:00 07:01 - 17:00 17:01 - 19:00 19:01 - 22:00 23:01 - 23:59 00:01 - 07:00 17:01 - 19:00 19:01 - 21:00 21:01 - 23:59 07:01 - 17:00 Catch all the latest from the CityFM89 Socials Asim Azhar and Arshman Naeem’s “Jo Tu Na Mila” x “Habibi” mashup needs to be on your playlist ‘Music is a universal language’: Natasha Baig defends her stance on Abdullah Qureshi quitting the music industry “Today i give you to the audience of the world”: Maula Jatt director Bilal Lashari sends off his dream film Music video for Atif Aslam’s upcoming song “Moonrise” features Bollywood star Amy Jackson Meesha Shafi, Hassan Minhaj and Alicia Silverstone to star in Pakistani-American coming-of-age film “Mustache” When the Rain Comes Sugababes  Freak 54 (Freak Out) Pitbull  Dientes J Balvin, Usher, DJ Khaled Other Boys Marshmello  Rush  Troye Sivan (feat. PinkPantheress & Hyunjin of Stray Kids) Keep Going Up Timbaland, Nelly Furtado, Justin Timberlake Last Time I Saw You Nicki Minaj  Single Soon Selena Gomez  The Weekend Stormzy & RAYE  Desire Calvin Harris, Sam Smith  Request Hour – We’re playing your song!
Tune in weekdays 3pm-4pm to hear your song played on CityFM89 Cityfm89 is a leading Pakistani radio station, launched in July 2004 it revolutionized radio listenership and gave listeners music that spoke to them."
https://www.dawn.com/advertise,Marketing - DAWN.COM - DAWN.COM,"Dawn.com is the largest English news website in Pakistan, whether you’re talking numbers or influence. Combine this with the power of our Images.dawn.com life & style brand and the DawnNews.tv Urdu news site and you have the best network for digital advertising available in Pakistan and across the globe. Our readers are high-profile, active, diverse and have the power to transform your brand. 65.7 million Average monthly pageviews 6.37 million Average monthly visitors Monthly average for Nov 2020 - Oct 2021 (Google Analytics) 
4.6 million  Unique visitors 
55.6 million  Pageviews 
69.20%  Male 
30.80%  Female 
1  Pakistan 
2  USA 
3  India 2.9 million 1.2 million 381,000 
650,000  Unique visitors 
7.5 million  Pageviews 
73%  Male 
27%  Female 
1  Pakistan 
2  USA 
3  UAE 5.3 million 2.1 million 572,000 
900,000  Unique visitors 
2.6 million  Pageviews 
57.90%  Male 
42.10%  Female 
1  Pakistan 
2  India 
3  USA 478,000 30,000 404,000 Our audience is savvy and ahead of the curve. More than 50% consume content on a mobile device. 78.67%mobile mobile 19.53%desktop desktop 1.79%tablet tablet 85.8%mobile mobile 13.1%desktop desktop 1.11%tablet tablet 82.00%mobile mobile 15.8%desktop desktop 2.2%tablet tablet The right ad, at the right place, targeting the right audience. We’ve got the eyeballs needed and the guarantee in hand that your ad campaign will have maximum impact We give you the flexibility to create campaigns with standard and rich media ad formats. Multiple ad units are available and can be used in any combination across our platforms. Your campaign can be targeted specific to your needs (country, device type, time-wise, frequency cap etc.)   Decades of editorial experience puts us in the perfect position to help your brand tell its story in new and creative ways. Our mission is to work with you to create content that will engage, entertain, inspire action and more. Your content can be placed on any of our sites with multiple layout options including the homepage, section(s), right hand column and more.
                        We have an exclusive slot for sponsored content on the homepage where your content can be seen by millions of visitors.  Compunode.com Pvt. Ltd. (www.compunode.com).Designed for Dawn. Copyright © 2024, Dawn NewsKit Publishing Platform"
https://educationexpo.dawn.com,Home - DAWN Education Expo,"DawnMedia has a rich history of orchestrating high-impact exhibitions and conferences across a multitude of sectors, including but not limited to agriculture, banking and finance, education, fashion, franchising, investments, lifestyles, logistics and shipping, real estate, and tourism. Each event curated by the Group is designed to foster direct engagement between delegates and their target audience, ensuring a productive and meaningful exchange of ideas and opportunities. Focused and driven, Pakistani students (and their parents) meticulously plan their higher educational careers; they are committed to earning a degree from the best possible educational institution and to this end they are willing to invest significant amounts of time and financial resources. In 2023, more than 30,000 Pakistani students are expected to pursue higher education at colleges and universities abroad; more than half of these students are expected to choose a university or college in the United Kingdom & Australia; the remainder will choose an educational institution in North America, Europe and the Far East & the Middle East. Keeping in view the high interest of visitors (students, parents, educationists, foreign missions & industrialists); at the Education Expo, the Research Pavilion will be organised in Karachi to further strengthen industry-academia linkages.  The workshops will be advertised in the media to attract large number of students that will benefit the participating universities. DAWN will publish Special Supplements on the days that the Expo is held in Karachi, Lahore and Islamabad. The Supplements provide comprehensive information about the Expo, higher education opportunities abroad, as well as individualised advertising and profiles of the participating institutes, thereby increasing their visibility to an even wider audience throughout the country. In addition, the event will be promoted through flyers in schools, social media, billboards etc. Stall Description: Each Octonorm / Stall is inclusive of Name Fascia, Counters & Chairs along with Spotlights A 15cm x 4 col. advertisement (15cm high x 14.55cms wide) in DAWN Special Report 150 - 200 words introductory write-up in DAWN Special Report Banners impressions on www.DAWN.com (50000 impressions) Stall Description: Each Octonorm / Stall is inclusive of Name Fascia, Counters & Chairs along with Spotlights Quarter-page advertisement (27 cms high x 14.55 cms wide) in DAWN Special Report 150 - 200 words introductory write-up in DAWN Special Report Banners impressions on www.DAWN.com (50000 impressions) Stall Description: Each Octonorm / Stall is inclusive of Name Fascia, Counters & Chairs along with Spotlights Half-page advertisement (27cm high x 29.4.5cms wide) in DAWN Special Report 150 - 200 words introductory write-up in DAWN Special Report Banners impressions on www.DAWN.com (50000 impressions) Stall Description: Each Octonorm / Stall is inclusive of Name Fascia, Counters & Chairs along with Spotlights Full-page advertisement (54 cm high x 29.4cms wide) in DAWN Special Report 150 - 200 words introductory write-up in DAWN Special Report Banners impressions on www.DAWN.com (50000 impressions)  Tel: +92 (21) 35613124
Mobile: +92 (300) 8250225
Email kafridi@dawn.com Tell: +92 (21) 3561-3281
Mobile: +92 (300) 231-9719
Email: asif.mufti@dawn.com Tel: +92 (42) 35761265
Mobile: +92 (321) 4441524
Email: saadia.khan@dawn.com Tel: +92 (51) 2202701-5
Mobile: +92 (311) 4860978
Email: shahzaib.abbasi@dawn.com"
https://www.dawn.com/events/supplements,Events - DAWN.COM - DAWN.COM,"DAWN Special Reports have 
always been an acknowledged 
source as much of perceptive 
contextualisation of national 
affairs as of life at large. From historic milestones and 
corporate concerns right down 
to the funny side of things, the 
Reports cover a wide spectrum 
for an equally wide audience.  Compunode.com Pvt. Ltd. (www.compunode.com).Designed for Dawn. Copyright © 2024, Dawn NewsKit Publishing Platform"
http://classifieds.dawn.com/,Dawn Classifieds,"IN the Court of Judge Banking Court Mirpur, Case No. 22. Institution: 20-07-2022. Next date of hearing: 24-09-2022. Case title: NBP v/s Abdul Slam. Proclamation V/s Abdul Slam s/o Abdul Razaq Azad R/o AP-KAWAIT Colony World/3 Muhala Mughlan Bhimber Business Address: Abdul Slam Jewelers Dwner Sharqi Bazar Distrcit Bhmber Azad Kashmir wheresas the plaintiff NBP has instituted a suit for recovery of Rs. 1414244.88 against your under section 9(5) of the financial institution (Recovery of Finance) Ordinance 2001. You are hereby summoned to obtain leav to defend the suit under ordiinae within 30 days after the publication of this notice. In default where of the plaintiff will be entitled to obtain the decree of the said sum till realization of amount. Judge Banking Court Mirpur A.K. IN the Court of Rao Mubashir Hassan Additional District and Session Judge Gujar Khan. Muhammad Sadique Versus Sardaran Begum etc. Appeal Againts. To, Munir Ahmed, Zaheer Ahmed, Aqeel Ahmed sons of Bashir Ahmed resident of Sheikh Pur Dakhli Devi Tehsil Gujar Khan. Whereas Respondents cannot be served in ordinary manner. It is proclaimed in this court on 21-09-2022 at 8 am ex-parte proceedings will be taken against you. A leading Chinese Construction Company has the used Tower Cranes and Elevators for sale. Interested people contact us. Mobile: 0311-1091530, Email: wasiimran76@gmail.com. Details: 16 Ton Tower Crane, Model C7022, Boom 50m, Height 54.7m. 40 Ton Tower Crane, Model C7050BSD, Boom 55m, Height 115m. Elevator, Model SC 160/160, 2008. Elevator, Model SC 200/200, 2016. IN the Court of Muhammad Yaqoob Gondal Civil Judge Pind Dadan Khan. Muhammad Iqbal Versus Farzand Hussain etc. Suit for Declaration etc. To, Ali son of Zawaar Hussain deceased son of Allah Bakhsh resident of Mohallah Nai Abadi Pind Dadan Khan District Jhelum. Whereas Respondents cannot be served in ordinary manner. It is proclaimed in this court on 22-09-2022 at 8 am ex-parte proceedings will be taken against you. CLIFTON Women Welfare Society (Regd.) 1982 for matrimonial social service in Karachi / America also. Mrs. MUMTAZ QURESHI 35873757, 0301-2433718. 0333-2433768, www.bestrishtay.com COMPUTER Engineer Daughter 23, 5'8"", required only abroad proposal. Lady 46, 5'5"", MS. Daughter 25, Electrical Engineer (GIK) Air Force background. MRS. KHAWAJA: 0315-5185708. DOCTOR son 36, (divorced) Major Engineer 35 son (divorced) Son 29 ACCA (divorced). Australian citizen 38 son (divorced MRS. KHAWAJA : 0336-0518518. I, Mr. Syed Ali Imran Zaidi CNIC No. 42301-8578026-1 inform that Vehicle Honda City registration date 22nd February 2006 documents are lost, whoever finds them, please Call on 0321-2255527 to inform. ALI Fumigation (Pvt.) Ltd., termite fumigation, rats, rodent, control, kitchen Gell treatment (no smell) garden consultant. Ali 021-35881762, 35881775, 0305-2144140. BAHRIA TOWN HOUSE HOLD ITEMS AND ELECTRONIC APPLIANCES FOR SALE (ALL DUBAI IMPORTED) BEDROOM SETS, SOFAS, CARPETS, LED, FRIDGE, DINING TABLE, WASHING MACHINE, AUTOMATIC CURTAINS ETC. ADDRESS: PRECENT 2, STREET 11 VILLA 639 0335-7052288. ALI Fumigation (Pvt.) Ltd., termite fumigation, rats, rodent, control, kitchen Gell treatment (no smell) garden consultant. Ali 021-35881762, 35881775, 0305-2144140. ALI Fumigation (Pvt.) Ltd., termite fumigation, rats, rodent, control, kitchen Gell treatment (no smell) garden consultant. Ali 021-35881762, 35881775, 0305-2144140."
